"-------------------------------------------------------------------------------------------"
" Atmospheric CO2 concentrations (ppm) derived from in situ air measurements                "
" at Mauna Loa, Observatory, Hawaii: Latitude 19.5°N Longitude 155.6°W Elevation 3397m      "
" Since December 2022 sampling has temporarily been relocated to MaunuaKea, Hawaii          "
" Latitude 19.8°N Longitude 155.5°W Elevation 4145m      "
"                                                                                           "
" Source: R. F. Keeling, S. J. Walker, S. C. Piper and A. F. Bollenbacher                   "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu), Stephen Walker"
" (sjwalker@ucsd.edu) and Stephen Piper (scpiper@ucsd.edu), Scripps CO2 Program.            "
"                                                                                           "
" Baseline data in this file through 09-Jul-2023 from archive dated 10-Jul-2023 15:15:05    "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats. Column 5 below gives monthly Mauna Loa CO2 concentrations in micro-mol CO2 per   "
" mole (ppm), reported on the 2012 SIO manometric mole fraction scale.  This is the        "
" standard version of the data most often sought.  The monthly values have been adjusted    "
" to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  "
" adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           "
" subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      "
" smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic "
" functions with linear gain.  Column 8 is the same smoothed version with the seasonal      "
" cycle removed.  Column 9 is identical to Column 5 except that the missing values from     "
" Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  "
" except missing values have been filled with values from Column 8.  Missing values are     "
" denoted by -99.99                                                                         "
" Column 11 is the 3-digit sampling station identifier"
"                                                                                           "
" CO2 concentrations are measured on the '12' calibration scale                             "
"                                                                                           "
  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally, Sta
1960, 08,   22143,  1960.6230,  315.90,   317.22,     315.67,   317.02,     315.90,   317.22, MLO
1960, 09,   22174,  1960.7077,  314.17,   317.09,     314.11,   317.05,     314.17,   317.09, MLO
1960, 10,   22204,  1960.7896,  313.83,   316.84,     314.08,   317.08,     313.83,   316.84, MLO
1960, 11,   22235,  1960.8743,  315.00,   316.89,     315.25,   317.11,     315.00,   316.89, MLO
1960, 12,   22265,  1960.9563,  316.19,   316.96,     316.40,   317.15,     316.19,   316.96, MLO
1961, 01,   22296,  1961.0411,  316.89,   316.84,     317.27,   317.20,     316.89,   316.84, MLO
1961, 02,   22327,  1961.1260,  317.70,   317.06,     317.93,   317.27,     317.70,   317.06, MLO
1961, 03,   22355,  1961.2027,  318.54,   317.26,     318.63,   317.33,     318.54,   317.26, MLO
1961, 04,   22386,  1961.2877,  319.48,   317.16,     319.75,   317.42,     319.48,   317.16, MLO
1961, 05,   22416,  1961.3699,  320.58,   317.74,     320.35,   317.50,     320.58,   317.74, MLO
1961, 06,   22447,  1961.4548,  319.77,   317.61,     319.73,   317.59,     319.77,   317.61, MLO
1961, 07,   22477,  1961.5370,  318.56,   317.89,     318.32,   317.68,     318.56,   317.89, MLO
1961, 08,   22508,  1961.6219,  316.79,   318.09,     316.44,   317.77,     316.79,   318.09, MLO
1961, 09,   22539,  1961.7068,  314.99,   317.91,     314.91,   317.85,     314.99,   317.91, MLO
1961, 10,   22569,  1961.7890,  315.31,   318.33,     314.91,   317.92,     315.31,   318.33, MLO
1961, 11,   22600,  1961.8740,  316.10,   318.00,     316.12,   317.99,     316.10,   318.00, MLO
1961, 12,   22630,  1961.9562,  317.01,   317.78,     317.30,   318.06,     317.01,   317.78, MLO
1962, 01,   22661,  1962.0411,  317.94,   317.88,     318.20,   318.13,     317.94,   317.88, MLO
1962, 02,   22692,  1962.1260,  318.55,   317.90,     318.86,   318.20,     318.55,   317.90, MLO
1962, 03,   22720,  1962.2027,  319.68,   318.40,     319.56,   318.26,     319.68,   318.40, MLO
1962, 04,   22751,  1962.2877,  320.57,   318.24,     320.66,   318.32,     320.57,   318.24, MLO
1962, 05,   22781,  1962.3699,  321.02,   318.16,     321.24,   318.39,     321.02,   318.16, MLO
1962, 06,   22812,  1962.4548,  320.62,   318.45,     320.60,   318.45,     320.62,   318.45, MLO
1962, 07,   22842,  1962.5370,  319.61,   318.94,     319.15,   318.51,     319.61,   318.94, MLO
1962, 08,   22873,  1962.6219,  317.40,   318.70,     317.22,   318.56,     317.40,   318.70, MLO
1962, 09,   22904,  1962.7068,  316.24,   319.18,     315.65,   318.60,     316.24,   319.18, MLO
1962, 10,   22934,  1962.7890,  315.42,   318.45,     315.62,   318.64,     315.42,   318.45, MLO
1962, 11,   22965,  1962.8740,  316.69,   318.59,     316.80,   318.68,     316.69,   318.59, MLO
1962, 12,   22995,  1962.9562,  317.70,   318.47,     317.96,   318.72,     317.70,   318.47, MLO
1963, 01,   23026,  1963.0411,  318.74,   318.68,     318.83,   318.76,     318.74,   318.68, MLO
1963, 02,   23057,  1963.1260,  319.07,   318.41,     319.47,   318.81,     319.07,   318.41, MLO
1963, 03,   23085,  1963.2027,  319.86,   318.57,     320.16,   318.86,     319.86,   318.57, MLO
1963, 04,   23116,  1963.2877,  321.38,   319.05,     321.26,   318.91,     321.38,   319.05, MLO
1963, 05,   23146,  1963.3699,  322.25,   319.38,     321.83,   318.96,     322.25,   319.38, MLO
1963, 06,   23177,  1963.4548,  321.49,   319.31,     321.17,   319.02,     321.49,   319.31, MLO
1963, 07,   23207,  1963.5370,  319.74,   319.07,     319.71,   319.06,     319.74,   319.07, MLO
1963, 08,   23238,  1963.6219,  317.77,   319.07,     317.76,   319.10,     317.77,   319.07, MLO
1963, 09,   23269,  1963.7068,  316.21,   319.16,     316.19,   319.15,     316.21,   319.16, MLO
1963, 10,   23299,  1963.7890,  315.99,   319.03,     316.16,   319.19,     315.99,   319.03, MLO
1963, 11,   23330,  1963.8740,  317.07,   318.97,     317.35,   319.23,     317.07,   318.97, MLO
1963, 12,   23360,  1963.9562,  318.35,   319.13,     318.52,   319.28,     318.35,   319.13, MLO
1964, 01,   23391,  1964.0410,  319.57,   319.51,     319.39,   319.32,     319.57,   319.51, MLO
1964, 02,   23422,  1964.1257,  -99.99,   -99.99,     320.03,   319.37,     320.03,   319.37, MLO
1964, 03,   23451,  1964.2049,  -99.99,   -99.99,     320.74,   319.41,     320.74,   319.41, MLO
1964, 04,   23482,  1964.2896,  -99.99,   -99.99,     321.83,   319.46,     321.83,   319.46, MLO
1964, 05,   23512,  1964.3716,  322.25,   319.38,     322.37,   319.50,     322.25,   319.38, MLO
1964, 06,   23543,  1964.4563,  321.89,   319.74,     321.67,   319.53,     321.89,   319.74, MLO
1964, 07,   23573,  1964.5383,  320.44,   319.79,     320.18,   319.56,     320.44,   319.79, MLO
1964, 08,   23604,  1964.6230,  318.69,   320.03,     318.22,   319.59,     318.69,   320.03, MLO
1964, 09,   23635,  1964.7077,  316.71,   319.67,     316.63,   319.61,     316.71,   319.67, MLO
1964, 10,   23665,  1964.7896,  316.87,   319.92,     316.59,   319.62,     316.87,   319.92, MLO
1964, 11,   23696,  1964.8743,  317.68,   319.59,     317.75,   319.64,     317.68,   319.59, MLO
1964, 12,   23726,  1964.9563,  318.71,   319.49,     318.90,   319.66,     318.71,   319.49, MLO
1965, 01,   23757,  1965.0411,  319.44,   319.38,     319.76,   319.69,     319.44,   319.38, MLO
1965, 02,   23788,  1965.1260,  320.45,   319.79,     320.39,   319.73,     320.45,   319.79, MLO
1965, 03,   23816,  1965.2027,  320.89,   319.59,     321.08,   319.77,     320.89,   319.59, MLO
1965, 04,   23847,  1965.2877,  322.14,   319.79,     322.20,   319.83,     322.14,   319.79, MLO
1965, 05,   23877,  1965.3699,  322.17,   319.29,     322.79,   319.91,     322.17,   319.29, MLO
1965, 06,   23908,  1965.4548,  321.87,   319.69,     322.17,   320.00,     321.87,   319.69, MLO
1965, 07,   23938,  1965.5370,  321.21,   320.53,     320.75,   320.10,     321.21,   320.53, MLO
1965, 08,   23969,  1965.6219,  318.87,   320.18,     318.86,   320.21,     318.87,   320.18, MLO
1965, 09,   24000,  1965.7068,  317.82,   320.78,     317.35,   320.33,     317.82,   320.78, MLO
1965, 10,   24030,  1965.7890,  317.30,   320.37,     317.38,   320.44,     317.30,   320.37, MLO
1965, 11,   24061,  1965.8740,  318.87,   320.79,     318.65,   320.55,     318.87,   320.79, MLO
1965, 12,   24091,  1965.9562,  319.42,   320.20,     319.90,   320.67,     319.42,   320.20, MLO
1966, 01,   24122,  1966.0411,  320.62,   320.57,     320.86,   320.79,     320.62,   320.57, MLO
1966, 02,   24153,  1966.1260,  321.60,   320.94,     321.57,   320.91,     321.60,   320.94, MLO
1966, 03,   24181,  1966.2027,  322.39,   321.09,     322.33,   321.01,     322.39,   321.09, MLO
1966, 04,   24212,  1966.2877,  323.70,   321.34,     323.49,   321.12,     323.70,   321.34, MLO
1966, 05,   24242,  1966.3699,  324.08,   321.19,     324.12,   321.22,     324.08,   321.19, MLO
1966, 06,   24273,  1966.4548,  323.75,   321.56,     323.50,   321.32,     323.75,   321.56, MLO
1966, 07,   24303,  1966.5370,  322.37,   321.69,     322.06,   321.41,     322.37,   321.69, MLO
1966, 08,   24334,  1966.6219,  320.36,   321.68,     320.13,   321.48,     320.36,   321.68, MLO
1966, 09,   24365,  1966.7068,  318.64,   321.61,     318.57,   321.56,     318.64,   321.61, MLO
1966, 10,   24395,  1966.7890,  318.10,   321.18,     318.56,   321.62,     318.10,   321.18, MLO
1966, 11,   24426,  1966.8740,  319.78,   321.71,     319.78,   321.69,     319.78,   321.71, MLO
1966, 12,   24456,  1966.9562,  321.02,   321.81,     320.98,   321.74,     321.02,   321.81, MLO
1967, 01,   24487,  1967.0411,  322.33,   322.27,     321.87,   321.80,     322.33,   322.27, MLO
1967, 02,   24518,  1967.1260,  322.50,   321.83,     322.53,   321.86,     322.50,   321.83, MLO
1967, 03,   24546,  1967.2027,  323.03,   321.73,     323.23,   321.91,     323.03,   321.73, MLO
1967, 04,   24577,  1967.2877,  324.41,   322.05,     324.34,   321.96,     324.41,   322.05, MLO
1967, 05,   24607,  1967.3699,  325.00,   322.10,     324.92,   322.02,     325.00,   322.10, MLO
1967, 06,   24638,  1967.4548,  324.09,   321.89,     324.26,   322.08,     324.09,   321.89, MLO
1967, 07,   24668,  1967.5370,  322.54,   321.86,     322.79,   322.14,     322.54,   321.86, MLO
1967, 08,   24699,  1967.6219,  320.92,   322.24,     320.85,   322.21,     320.92,   322.24, MLO
1967, 09,   24730,  1967.7068,  319.25,   322.24,     319.28,   322.28,     319.25,   322.24, MLO
1967, 10,   24760,  1967.7890,  319.39,   322.48,     319.28,   322.35,     319.39,   322.48, MLO
1967, 11,   24791,  1967.8740,  320.73,   322.66,     320.51,   322.42,     320.73,   322.66, MLO
1967, 12,   24821,  1967.9562,  321.95,   322.74,     321.73,   322.50,     321.95,   322.74, MLO
1968, 01,   24852,  1968.0410,  322.57,   322.51,     322.64,   322.57,     322.57,   322.51, MLO
1968, 02,   24883,  1968.1257,  323.15,   322.48,     323.33,   322.65,     323.15,   322.48, MLO
1968, 03,   24912,  1968.2049,  323.89,   322.55,     324.08,   322.73,     323.89,   322.55, MLO
1968, 04,   24943,  1968.2896,  325.02,   322.63,     325.24,   322.83,     325.02,   322.63, MLO
1968, 05,   24973,  1968.3716,  325.57,   322.66,     325.84,   322.93,     325.57,   322.66, MLO
1968, 06,   25004,  1968.4563,  325.36,   323.17,     325.20,   323.03,     325.36,   323.17, MLO
1968, 07,   25034,  1968.5383,  324.14,   323.48,     323.77,   323.14,     324.14,   323.48, MLO
1968, 08,   25065,  1968.6230,  322.11,   323.46,     321.87,   323.26,     322.11,   323.46, MLO
1968, 09,   25096,  1968.7077,  320.33,   323.33,     320.36,   323.37,     320.33,   323.33, MLO
1968, 10,   25126,  1968.7896,  320.25,   323.34,     320.41,   323.49,     320.25,   323.34, MLO
1968, 11,   25157,  1968.8743,  321.32,   323.26,     321.71,   323.62,     321.32,   323.26, MLO
1968, 12,   25187,  1968.9563,  322.89,   323.68,     322.98,   323.75,     322.89,   323.68, MLO
1969, 01,   25218,  1969.0411,  324.00,   323.94,     323.96,   323.89,     324.00,   323.94, MLO
1969, 02,   25249,  1969.1260,  324.41,   323.75,     324.71,   324.03,     324.41,   323.75, MLO
1969, 03,   25277,  1969.2027,  325.63,   324.32,     325.49,   324.16,     325.63,   324.32, MLO
1969, 04,   25308,  1969.2877,  326.66,   324.29,     326.70,   324.31,     326.66,   324.29, MLO
1969, 05,   25338,  1969.3699,  327.38,   324.46,     327.36,   324.44,     327.38,   324.46, MLO
1969, 06,   25369,  1969.4548,  326.71,   324.49,     326.77,   324.57,     326.71,   324.49, MLO
1969, 07,   25399,  1969.5370,  325.88,   325.19,     325.35,   324.69,     325.88,   325.19, MLO
1969, 08,   25430,  1969.6219,  323.66,   324.99,     323.44,   324.81,     323.66,   324.99, MLO
1969, 09,   25461,  1969.7068,  322.38,   325.38,     321.89,   324.91,     322.38,   325.38, MLO
1969, 10,   25491,  1969.7890,  321.78,   324.88,     321.90,   325.00,     321.78,   324.88, MLO
1969, 11,   25522,  1969.8740,  322.85,   324.80,     323.16,   325.08,     322.85,   324.80, MLO
1969, 12,   25552,  1969.9562,  324.11,   324.91,     324.38,   325.16,     324.11,   324.91, MLO
1970, 01,   25583,  1970.0411,  325.06,   325.00,     325.31,   325.24,     325.06,   325.00, MLO
1970, 02,   25614,  1970.1260,  325.99,   325.32,     326.00,   325.33,     325.99,   325.32, MLO
1970, 03,   25642,  1970.2027,  326.93,   325.61,     326.73,   325.40,     326.93,   325.61, MLO
1970, 04,   25673,  1970.2877,  328.13,   325.75,     327.88,   325.48,     328.13,   325.75, MLO
1970, 05,   25703,  1970.3699,  328.08,   325.15,     328.48,   325.55,     328.08,   325.15, MLO
1970, 06,   25734,  1970.4548,  327.67,   325.44,     327.84,   325.63,     327.67,   325.44, MLO
1970, 07,   25764,  1970.5370,  326.34,   325.65,     326.37,   325.70,     326.34,   325.65, MLO
1970, 08,   25795,  1970.6219,  324.68,   326.02,     324.40,   325.77,     324.68,   326.02, MLO
1970, 09,   25826,  1970.7068,  323.10,   326.11,     322.81,   325.84,     323.10,   326.11, MLO
1970, 10,   25856,  1970.7890,  323.07,   326.18,     322.79,   325.89,     323.07,   326.18, MLO
1970, 11,   25887,  1970.8740,  324.01,   325.96,     324.00,   325.93,     324.01,   325.96, MLO
1970, 12,   25917,  1970.9562,  325.13,   325.93,     325.19,   325.97,     325.13,   325.93, MLO
1971, 01,   25948,  1971.0411,  326.17,   326.11,     326.08,   326.01,     326.17,   326.11, MLO
1971, 02,   25979,  1971.1260,  326.69,   326.01,     326.73,   326.05,     326.69,   326.01, MLO
1971, 03,   26007,  1971.2027,  327.18,   325.85,     327.43,   326.09,     327.18,   325.85, MLO
1971, 04,   26038,  1971.2877,  327.78,   325.39,     328.55,   326.14,     327.78,   325.39, MLO
1971, 05,   26068,  1971.3699,  328.93,   325.99,     329.14,   326.20,     328.93,   325.99, MLO
1971, 06,   26099,  1971.4548,  328.57,   326.34,     328.48,   326.26,     328.57,   326.34, MLO
1971, 07,   26129,  1971.5370,  327.36,   326.67,     327.00,   326.33,     327.36,   326.67, MLO
1971, 08,   26160,  1971.6219,  325.43,   326.77,     325.03,   326.41,     325.43,   326.77, MLO
1971, 09,   26191,  1971.7068,  323.36,   326.38,     323.44,   326.48,     323.36,   326.38, MLO
1971, 10,   26221,  1971.7890,  323.56,   326.69,     323.44,   326.55,     323.56,   326.69, MLO
1971, 11,   26252,  1971.8740,  324.80,   326.75,     324.69,   326.62,     324.80,   326.75, MLO
1971, 12,   26282,  1971.9562,  326.01,   326.81,     325.92,   326.70,     326.01,   326.81, MLO
1972, 01,   26313,  1972.0410,  326.77,   326.71,     326.86,   326.79,     326.77,   326.71, MLO
1972, 02,   26344,  1972.1257,  327.63,   326.96,     327.56,   326.88,     327.63,   326.96, MLO
1972, 03,   26373,  1972.2049,  327.75,   326.40,     328.35,   326.98,     327.75,   326.40, MLO
1972, 04,   26404,  1972.2896,  329.72,   327.30,     329.54,   327.10,     329.72,   327.30, MLO
1972, 05,   26434,  1972.3716,  330.07,   327.12,     330.18,   327.23,     330.07,   327.12, MLO
1972, 06,   26465,  1972.4563,  329.09,   326.87,     329.58,   327.38,     329.09,   326.87, MLO
1972, 07,   26495,  1972.5383,  328.04,   327.37,     328.18,   327.54,     328.04,   327.37, MLO
1972, 08,   26526,  1972.6230,  326.32,   327.69,     326.32,   327.72,     326.32,   327.69, MLO
1972, 09,   26557,  1972.7077,  324.84,   327.88,     324.86,   327.92,     324.84,   327.88, MLO
1972, 10,   26587,  1972.7896,  325.20,   328.33,     324.99,   328.11,     325.20,   328.33, MLO
1972, 11,   26618,  1972.8743,  326.50,   328.46,     326.38,   328.31,     326.50,   328.46, MLO
1972, 12,   26648,  1972.9563,  327.55,   328.35,     327.73,   328.51,     327.55,   328.35, MLO
1973, 01,   26679,  1973.0411,  328.55,   328.49,     328.79,   328.72,     328.55,   328.49, MLO
1973, 02,   26710,  1973.1260,  329.56,   328.89,     329.61,   328.93,     329.56,   328.89, MLO
1973, 03,   26738,  1973.2027,  330.30,   328.97,     330.46,   329.11,     330.30,   328.97, MLO
1973, 04,   26769,  1973.2877,  331.50,   329.10,     331.73,   329.31,     331.50,   329.10, MLO
1973, 05,   26799,  1973.3699,  332.48,   329.52,     332.44,   329.48,     332.48,   329.52, MLO
1973, 06,   26830,  1973.4548,  332.07,   329.83,     331.87,   329.64,     332.07,   329.83, MLO
1973, 07,   26860,  1973.5370,  330.87,   330.17,     330.44,   329.77,     330.87,   330.17, MLO
1973, 08,   26891,  1973.6219,  329.31,   330.66,     328.50,   329.88,     329.31,   330.66, MLO
1973, 09,   26922,  1973.7068,  327.52,   330.56,     326.91,   329.96,     327.52,   330.56, MLO
1973, 10,   26952,  1973.7890,  327.19,   330.33,     326.89,   330.02,     327.19,   330.33, MLO
1973, 11,   26983,  1973.8740,  328.17,   330.13,     328.10,   330.05,     328.17,   330.13, MLO
1973, 12,   27013,  1973.9562,  328.65,   329.45,     329.29,   330.08,     328.65,   329.45, MLO
1974, 01,   27044,  1974.0411,  329.36,   329.30,     330.17,   330.10,     329.36,   329.30, MLO
1974, 02,   27075,  1974.1260,  330.71,   330.04,     330.81,   330.13,     330.71,   330.04, MLO
1974, 03,   27103,  1974.2027,  331.49,   330.15,     331.50,   330.15,     331.49,   330.15, MLO
1974, 04,   27134,  1974.2877,  332.65,   330.24,     332.62,   330.19,     332.65,   330.24, MLO
1974, 05,   27164,  1974.3699,  333.10,   330.13,     333.19,   330.23,     333.10,   330.13, MLO
1974, 06,   27195,  1974.4548,  332.26,   330.01,     332.51,   330.27,     332.26,   330.01, MLO
1974, 07,   27225,  1974.5370,  331.18,   330.48,     330.99,   330.32,     331.18,   330.48, MLO
1974, 08,   27256,  1974.6219,  329.40,   330.75,     328.98,   330.37,     329.40,   330.75, MLO
1974, 09,   27287,  1974.7068,  327.44,   330.49,     327.36,   330.42,     327.44,   330.49, MLO
1974, 10,   27317,  1974.7890,  327.38,   330.53,     327.33,   330.47,     327.38,   330.53, MLO
1974, 11,   27348,  1974.8740,  328.46,   330.44,     328.58,   330.53,     328.46,   330.44, MLO
1974, 12,   27378,  1974.9562,  329.58,   330.38,     329.81,   330.59,     329.58,   330.38, MLO
1975, 01,   27409,  1975.0411,  330.41,   330.35,     330.74,   330.67,     330.41,   330.35, MLO
1975, 02,   27440,  1975.1260,  331.41,   330.73,     331.44,   330.75,     331.41,   330.73, MLO
1975, 03,   27468,  1975.2027,  332.04,   330.70,     332.18,   330.83,     332.04,   330.70, MLO
1975, 04,   27499,  1975.2877,  333.32,   330.89,     333.36,   330.92,     333.32,   330.89, MLO
1975, 05,   27529,  1975.3699,  333.98,   331.00,     333.99,   331.02,     333.98,   331.00, MLO
1975, 06,   27560,  1975.4548,  333.62,   331.36,     333.36,   331.12,     333.62,   331.36, MLO
